2021-05-14 17:26:26, info, successfully logged in
2021-05-14 17:26:31, info, successfully logged in
2021-05-14 17:27:10, info, successfully signed up
2021-05-14 17:27:22, info, successfully logged in
2021-05-14 17:27:42, info, successfully friend added
2021-05-14 17:28:04, info, Expense added successfully
2021-05-14 17:28:21, info, Expense added successfully
2021-05-14 17:28:46, info, successfully expense settled
2021-05-14 17:29:07, info, successfully logged in
2021-05-14 18:05:41, info, successfully signed up
2021-05-14 18:07:22, info, successfully signed up
2021-05-14 18:07:45, info, successfully logged in
2021-05-14 18:07:46, info, successfully logged in
2021-05-14 18:11:50, info, successfully signed up
2021-05-14 18:11:52, info, successfully signed up
2021-05-14 18:11:54, info, successfully logged in
2021-05-14 18:11:56, info, successfully logged in
2021-05-14 18:17:38, info, successfully logged in
2021-05-14 18:17:38, info, successfully logged in
2021-05-14 18:19:47, info, successfully logged in
2021-05-14 18:19:47, info, successfully logged in
2021-05-14 22:01:53, info, successfully signed up
2021-05-14 22:01:54, error, jwt malformed
2021-05-14 22:02:06, info, successfully logged in
2021-05-14 22:02:18, info, successfully friend added
2021-05-14 22:02:29, info, successfully friend added
2021-05-14 22:02:33, info, successfully friend added
2021-05-14 22:02:34, info, successfully friend added
2021-05-14 22:02:34, info, successfully friend added
2021-05-14 22:02:34, info, successfully friend added
2021-05-14 22:02:34, info, successfully friend added
2021-05-14 22:02:51, info, Expense added successfully
2021-05-14 22:03:29, info, successfully expense settled
2021-05-15 05:39:59, info, successfully logged in
2021-05-15 09:25:57, info, successfully logged in
2021-05-15 09:25:57, info, successfully logged in
2021-05-15 10:00:00, info, successfully signed up
2021-05-15 10:00:00, info, successfully signed up
2021-05-15 10:00:00, info, successfully logged in
2021-05-15 10:00:00, info, successfully logged in
